Recipe Name;Review Count;Recipe Photo;Author;Prepare Time;Cook Time;Total Time;Ingredients;Directions;RecipeID
Baked Macaroni and Cheese I Recipe ;331;https://images.media-allrecipes.com/userphotos/560x315/1834041.jpg;Abbey Robb;10 m;35 m;45 m;bacon,pasta,onion,garlic,cheddar,butter,flour,milk;Preheat oven to 350 degrees F (175 degrees C).**Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, crumble and set aside.**In a large pot with boiling salted water cook pasta until al dente. Drain.**In a medium skillet saute the chopped onion, and minced garlic. Take off heat and add chopped cooked bacon and set aside.**To make the sauce, in a medium saucepan melt the butter or margarine over low heat. Once melted, add the flour and stir constantly for 2 minutes. Gradually add milk and continue stirring until thickened. Stir in 2 cups of the grated Cheddar cheese and stir until melted.**Combine cooked pasta, sauteed vegetables and sauce. Pour into a 2 quart casserole dish. Add the last cup of grated Cheddar cheese to top of mixture.**Bake uncovered in preheated oven until cheese on top is melted and brown, 15 to 20 minutes. Serve warm.**;11937
Easy Alfredo Sauce I Recipe ;641;https://images.media-allrecipes.com/userphotos/560x315/3334325.jpg;Kathy Rose;X;15 m;15 m;whipping cream,butter,parmesan;In a medium saucepan combine whipping cream, butter or margarine, and grated Parmesan cheese. Cook over medium low heat until smooth. Remove from heat. Sauce will thicken upon standing.**;11945
Linguine with Clam Sauce Recipe ;248;https://images.media-allrecipes.com/userphotos/250x250/52131.jpg;Dorothy Rinaldi;20 m;12 m;32 m;clam,butter,vegetable oil,garlic,parsley,black pepper,basil,pasta;Bring a large pot of salted water to boil. Cook pasta according to package directions.**Combine clams with juice, butter, oil, minced garlic, parsley, basil, and pepper in a large saucepan. Place over medium heat until boiling. Serve warm over pasta.**;11951
Slow Cooker Lasagna Recipe ;667;https://images.media-allrecipes.com/userphotos/560x315/3605394.jpg;KIMIRN;20 m;4 h 20 m;4 h 40 m;ground beef,onion,garlic,tomato sauce,tomato,salt,oregano,lasagna,cottage cheese,parmesan,mozzarella;In a large skillet over medium heat cook the ground beef, onion, and garlic until brown. Add the tomato sauce, tomato paste, salt, and oregano and stir until well incorporated. Cook until heated through.**In a large bowl mix together the cottage cheese, grated Parmesan cheese, and shredded mozzarella cheese.**Spoon a layer of the meat mixture onto the bottom of the slow cooker. Add a double layer of the uncooked lasagna noodles. Break to fit noodles into slow cooker. Top noodles with a portion of the cheese mixture. Repeat the layering of sauce, noodles, and cheese until all the ingredients are used.**Cover, and cook on LOW setting  for 4 to 6 hours.**;11959
Best Marinara Sauce Yet Recipe ;1k;https://images.media-allrecipes.com/userphotos/560x315/776872.jpg;Jackie;15 m;30 m;45 m;tomato,tomato,parsley,garlic,oregano,salt,black pepper,olive,onion,white wine;In a food processor place Italian tomatoes, tomato paste, chopped parsley, minced garlic, oregano, salt, and pepper. Blend until smooth.**In a large skillet over medium heat saute the finely chopped onion in olive oil for 2 minutes. Add the blended tomato sauce and white wine.**Simmer for 30 minutes, stirring occasionally.**;11966
Angel Chicken Pasta Recipe ;2k;https://images.media-allrecipes.com/userphotos/560x315/525185.jpg;Marian Collins;30 m;1 h;1 h 30 m;chicken,butter,salad dressing,white wine,mushroom,cream cheese,pasta;Preheat oven to 325 degrees F (165 degrees C).**In a large saucepan, melt butter over low heat. Stir in the package of dressing mix. Blend in wine and golden mushroom soup. Mix in cream cheese, and stir until smooth. Heat through, but do not boil.  Arrange chicken breasts in a single layer in a 9x13 inch baking dish. Pour sauce over.**Bake for 60 minutes in the preheated oven. Twenty minutes before the chicken is done, bring a large pot of lightly salted water to a rolling boil. Cook pasta until al dente, about 5 minutes. Drain. Serve chicken and sauce over pasta.**;11967
Pasta Bake Recipe ;276;https://images.media-allrecipes.com/userphotos/560x315/1117089.jpg;jojolyn;15 m;40 m;55 m;pasta,ground beef,onion,mushroom,spaghetti,mozzarella;Bring a large pot of lightly salted boil water to a boil. Cook mostaccioli pasta in boiling water  for 8 to 10 minutes, or until al dente. Drain well.**Meanwhile, cook ground beef and chopped onions in a skillet  over medium heat until browned.**In a large bowl, mix together the mushrooms, spaghetti sauce, shredded mozzarella cheese, pasta, and browned ground beef and onion mixture. Transfer to a  greased, 9x13 inch casserole dish.**Bake at 325 degrees F (165 degrees C) for 20 minutes, or until very hot.**;11969
All Day Macaroni and Cheese Recipe ;308;https://images.media-allrecipes.com/userphotos/560x315/1778626.jpg;Becky;15 m;6 h 10 m;6 h 25 m;macaroni,cheddar,milk,milk,egg,salt,black pepper;In a large pot, cook the macaroni in boiling water 10 minutes, or until al dente, and drain.**In a large bowl, mix the cooked macaroni, 3 cups of the sharp Cheddar cheese, evaporated milk, milk, eggs, salt, and pepper. Transfer to a slow cooker that has been coated with non-stick cooking spray. Sprinkle with the remaining 1 cup of shredded sharp Cheddar cheese.**Cover, and cook on Low for 5 to 6 hours, or until the mixture is firm and golden around the edges. Do not remove the cover or stir the mixture until the mixture has finished cooking. Serve warm.**;11990
Egg Noodles Recipe ;636;https://images.media-allrecipes.com/userphotos/560x315/1989796.jpg;Linda;15 m;3 m;33 m;flour,salt,egg,milk,butter;In a large bowl, stir together the flour and salt. Add the beaten egg, milk, and butter. Knead dough until smooth, about 5 minutes. Let rest in a covered bowl for 10 minutes.**On a floured surface, roll out to 1/8 or 1/4 inch thickness. Cut into desired lengths and shapes.**Allow to air dry before cooking.**To cook fresh pasta, in a large pot with boiling salted water cook until al dente.**;11991
Greek Penne and Chicken Recipe ;517;https://images.media-allrecipes.com/userphotos/560x315/731490.jpg;Jennifer;20 m;30 m;50 m;pasta,butter,onion,garlic,chicken,artichoke,tomato,cheese,parsley,lemon juice,oregano,salt,black pepper;In a large pot with boiling salted water cook penne pasta until al dente. Drain.**Meanwhile, in a large skillet over medium-high heat melt butter, add onion and garlic and cook for 2 minutes. Add chopped chicken and continue cooking, stirring occasionally until golden brown, about 5 to 6 minutes.**Reduce heat to medium- low. Drain and chop artichoke hearts and add them, chopped tomato, feta cheese, fresh parsley, lemon juice, dried oregano, and drained penne pasta to the large skillet. Cook until heated through, about 2 to 3 minutes.**Season with salt and ground black pepper. Serve warm.**;11998
Pasta, Broccoli and Chicken Recipe ;174;https://images.media-allrecipes.com/userphotos/560x315/576075.jpg;Joanne;X;X;X;pasta,broccoli,olive,garlic,2 tablespoons pesto,tomato,parmesan,chicken,salt,black pepper;In a large pot with boiling salted water cook rigatoni pasta until al dente. Drain.**Meanwhile, blanch broccoli florets in a medium size saucepan, remove with slotted spoon. In same pan saute the minced garlic and pesto sauce in the olive oil for 2 minutes. Add the chopped tomatoes and set aside.**In a large bowl toss cooked pasta with blanched broccoli, cooked chicken, and garlic/tomato mixture. Add grated Parmesan cheese, salt, and ground black pepper and mix well. Serve warm.**;12008
Easy Lasagna II Recipe ;708;https://images.media-allrecipes.com/userphotos/560x315/4511968.jpg;Joanie Heger;15 m;1 h;1 h 25 m;ground beef,spaghetti,cottage cheese,mozzarella,egg,parmesan,parsley,salt,black pepper,lasagna,water;In a large skillet over medium heat brown the ground beef. Drain the grease. Add spaghetti sauce and simmer for 5 minutes.**In a large bowl, mix together the cottage cheese, 2 cups of the mozzarella cheese, eggs, half of the grated Parmesan cheese, dried parsley, salt and ground black pepper.**To assemble, in the bottom of a 9x13 inch baking dish evenly spread 3/4 cup of the sauce mixture. Cover with 3 uncooked lasagna noodles, 1 3/4 cup of the cheese mixture, and 1/4 cup sauce. Repeat layers twice. Top with 3 noodles, remaining sauce, remaining mozzarella and Parmesan cheese. Add 1/2 cup water to the edges of the pan. Cover with aluminum foil.**Bake in a preheated 350 degree F(175 degrees C) oven for 45 minutes. Uncover and bake an additional 10 minutes. Let stand 10 minutes before serving.**;12011
Mac and Cheese II Recipe ;195;https://images.media-allrecipes.com/userphotos/560x315/975213.jpg;KROB919;20 m;45 m;1 h 5 m;macaroni,butter,flour,milk,cheddar,cheese;In a large pot with boiling salted water cook elbow macaroni until al dente. Drain.**In a medium saucepan, over medium heat melt butter or margarine. Whisk flour and stir vigorously. Add milk and cook until thick and bubbly, about 5 to 7 minutes. Add cheeses and stir until completely melted.**In a large bowl mix together the drained pasta and cheese sauce mixture. Toss to coat evenly.**Pour into a greased 2 quart casserole dish. Bake in a preheated 350 degree F (175 degrees C)  oven for 30 minutes. Let stand 10 minutes before serving.**;12016
Basil Chicken and Pasta Recipe ;279;https://images.media-allrecipes.com/userphotos/560x315/1028203.jpg;Stacey Adkins;X;X;X;pasta,butter,chicken,garlic,black pepper,basil,cream,parmesan;In a large pot with boiling salted water cook rotini pasta until al dente. Drain.**Meanwhile, in a large skillet melt the butter or margarine. Add the chopped chicken and garlic, saute until lightly brown and juices run clear. Stir in the ground black pepper, dried basil, heavy cream, and grated Parmesan cheese. Bring to a boil and simmer for 3 to 4 minutes.**Toss drained pasta with basil sauce and serve immediately.**;12019
Tuna Noodle Casserole II Recipe ;171;https://images.media-allrecipes.com/userphotos/560x315/378844.jpg;Karena;X;X;X;noodle,mushroom,milk,tuna,cheese,onion,potato,paprika;In a large pot with boiling salted water cook egg noodles until al dente. Drain.**In a large bowl combine the cooked egg noodles, cream of mushroom soup, evaporated milk, tuna, grated American cheese, and chopped onion. Pour into a greased 1.5 quart casserole dish. Sprinkle the top with the crumbled potato chips and the paprika.**Bake in a preheated 425 degree F (220 degree C) oven for 15 to 20 minutes.**;12030
Meaty Spaghetti Sauce Recipe ;242;https://images.media-allrecipes.com/userphotos/250x250/934641.jpg;Stacey;X;X;X;ground beef,sausage,sausage,bell pepper,bell pepper,garlic,onion,carrot,celery,mushroom,tomato sauce,tomato,tomato,beef,bay leaf,thyme,oregano,basil,red pepper,black pepper,white sugar,beef;'In a large stockpot cook the ground beef, sausage, pepperoni, green bell pepper, red bell pepper, garlic, onion, carrots and celery. Cook until beef is no longer pink. Drain into a large colander to drain grease.;12034
Pasta with Scallops, Zucchini, and Tomatoes Recipe ;292;https://images.media-allrecipes.com/userphotos/560x315/1124847.jpg;Lisa Stinger;15 m;15 m;30 m;pasta,olive,garlic,zucchini,salt,red pepper,basil,tomato,scallop,parmesan;In a large pot with boiling salted water cook pasta until al dente. Drain.**Meanwhile, in a large skillet heat oil, add garlic and cook until tender. Add the zucchini, salt, red pepper flakes, dried basil (if using) and saute for 10 minutes. Add chopped tomatoes, bay scallops, and fresh basil (if using) and simmer for 5 minutes, or until scallops are opaque.**Pour sauce over cooked pasta and serve with grated Parmesan cheese.**;12043
'Stephanie''s Freezer Spaghetti Sauce Recipe ';236;https://images.media-allrecipes.com/userphotos/560x315/825519.jpg;Stephanie Lane;X;X;X;onion,garlic,bell pepper,vegetable oil,tomato,oregano,basil,parsley,white sugar,salt,black pepper,tomato;In a slow cooker saute together the onion, garlic, green pepper, and vegetable oil. Cook until onion is transparent.**Add the chopped tomatoes, oregano, basil, parsley, sugar, salt, and ground black pepper. Cook for 2 to 3 hours on low heat. Stir frequently.**Let sauce cool. Pour sauce into quart size freezer containers. Store in freezer.**When ready to use sauce, stir in can of tomato paste.**;12054
Three Cheese Baked Pasta Recipe ;291;https://images.media-allrecipes.com/userphotos/560x315/766851.jpg;Lalena;20 m;1 h;1 h 20 m;pasta,ground beef,onion,tomato,cheese,sour cream,mozzarella,parmesan;Bring a large pot of lightly salted water to a boil. Cook pasta in boiling water until al dente. Drain.**Meanwhile, cook ground meat and onion in a skillet over medium heat, stirring frequently, until meat is browned. Stir in pasta sauce, reduce heat, and simmer for 15 minutes.**Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish. Layer the ingredients in the prepared baking dish as follows: half of the cooked pasta, all the provolone cheese, all the sour cream, half of the sauce mixture, remaining pasta, mozzarella cheese, and remaining sauce mixture. Top with grated Parmesan cheese.**Bake in preheated oven for 30 minutes, or until bubbly.**;12073
Chocolate Chip Pie I Recipe ;138;https://images.media-allrecipes.com/userphotos/560x315/4705327.jpg;Mirelle Dean;20 m;1 h;1 h 20 m;egg,white sugar,brown sugar,vanilla,butter,flour,chocolate,walnut,pastry;Preheat oven to 325 degrees F (165 degrees C).**Beat eggs until frothy, add sugars and vanilla.**Melt butter or margarine, and add to sugar and egg mixture.**Stir in flour until well blended.**Mix in walnuts and chocolate chips.**Pour into pie pan and bake for 1 hour.  Serve warm with whipped cream or ice cream.**;12077
'Mrs. Sigg''s Fresh Pumpkin Pie Recipe ';585;https://images.media-allrecipes.com/userphotos/560x315/821072.jpg;Beth Sigworth;20 m;1 h;14 h 40 m;pumpkin,pastry,egg,brown sugar,flour,salt,pumpkin,milk;Cut pumpkin in half and remove seeds. Place cut side down on a cookie sheet lined with lightly oiled aluminum foil. Bake at 325 degrees F (165 degrees C) for 30 to 40 minutes, or until the flesh is tender when poked with a fork. Cool until just warm. Scrape the pumpkin flesh from the peel. Either mash, or puree in small batches in a blender. Increase oven temperature to 450 degrees F (230 degrees C.)**In a large bowl, slightly beat eggs.  Add brown sugar, flour, salt, 2 cups of the pumpkin puree, pumpkin pie spice, and evaporated milk.  Stir well after each addition.**Pour mixture into the unbaked pastry shell.  Place a strip of aluminum foil around the edge of the crust to prevent over browning.**Bake 10 minutes at 450 degrees F (230 degrees C), then reduce the oven temperature to 350 degrees F (175 degrees C).  Bake an additional 40 to 50 minutes, or until a toothpick inserted near the center comes out clean.   Remove the strip of foil about 20 minutes before the pie is done so that the edge of the crust will be a light golden brown.  Cool pie, and refrigerate overnight for best flavor.**;12089
Peach Cobbler I Recipe ;241;https://images.media-allrecipes.com/userphotos/250x250/678400.jpg;V. Monte;20 m;50 m;1 h 10 m;butter,peach,white sugar,white sugar,salt,baking powder,flour,cinnamon,milk;Preheat oven to 350 degrees F (175 degrees C). Pour butter in to the bottom of a large casserole or 9 x 13 inch pan.**In the prepared dish, toss together the peaches and 2 tablespoons sugar.**In a mixing bowl, combine the 1 cup sugar, salt, baking powder, flour, cinnamon, and milk.  Spoon batter over the peaches.**Bake for 45 minutes in the preheated oven, or until top is golden brown.**;12107
Coconut Cream Pie I Recipe ;285;https://images.media-allrecipes.com/userphotos/560x315/1066271.jpg;Dmarcks;15 m;X;1 h 15 m;bake,vanilla,milk,coconut,topping thawed;In a large bowl, combine the pudding mix and milk until the pudding mixture thickens.  Fold 1 cup of coconut and half of the nondairy whipped topping into the pudding.  Pour the combination into the prepared pie crust.**Spread the remainder of the nondairy whipped topping on top of the pie.  Sprinkle with the remainder of the coconut. Refrigerate, and serve chilled.**;12110
Best Ever Pie Crust Recipe ;837;https://images.media-allrecipes.com/userphotos/560x315/2750662.jpg;Jean Haseloh;20 m;X;20 m;flour,salt,shortening,water;'In a large bowl, combine flour and salt. Cut in shortening until mixture resembles coarse crumbs. Stir in water until mixture forms a ball. Divide dough in half, and shape into balls. Wrap in plastic, and refrigerate for 4 hours or overnight.**Roll out dough on a floured counter.  Don''t over work it.  Use as directed in pie recipe.**';12111
Apple, Cranberry, and Pear Crisp Recipe ;245;https://images.media-allrecipes.com/userphotos/560x315/1117671.jpg;Barb Y;15 m;45 m;1 h;apple,pear,cranberry,flour,honey,lemon juice,flour,brown sugar,oat,walnut,butter;Preheat oven to 375 degrees F (190 degrees C). Lightly grease an 8 inch baking dish.**Mix the apples, pears, cranberries, 1 tablespoon flour, honey, and lemon juice in the prepared dish.**In a bowl, mix 1/2 cup flour, brown sugar, oats, walnuts, and butter to the consistency of coarse crumbs. Sprinkle loosely over the fruit mixture.**Bake 45 minutes in the preheated oven, or until brown and crisp on top.**;12123
Basic Flaky Pie Crust Recipe ;1k;https://images.media-allrecipes.com/userphotos/560x315/1856550.jpg;stephanie;X;X;X;flour,salt,shortening,water;Whisk the flour and salt together in a medium size bowl.  With a pastry blender, cut in the cold shortening until the mixture resembles coarse crumbs.  Drizzle 2 to 3 tablespoons ice water over flour.  Toss mixture with a fork to moisten, adding more water a few drops at a time until the dough comes together.**Gently gather dough particles together into a ball.  Wrap in plastic wrap, and chill for at least 30 minutes before rolling.**Roll out dough, and put in a pie plate.  Fill with desired filling and bake.**;12133
'Bev''s Chocolate Pie Recipe ';398;https://images.media-allrecipes.com/userphotos/560x315/2218132.jpg;Diana Barnes;30 m;40 m;1 h 10 m;white sugar,cocoa powder,flour,milk,vanilla,egg,butter,pastry,egg,white sugar;"Preheat oven to 350 degrees F (175 degrees C).**In a saucepan, whisk together 2 cups sugar, cocoa and flour. Blend in evaporated milk and vanilla.  Beat egg yolks, and stir into pan.  Add the butter or margarine.   Heat, stirring constantly just until butter is melted.  Pour filling into unbaked pie shell.**Bake in preheated oven for 35 to 40 minutes, or until pie is not ""wobbly"" when shaken.**Beat egg whites until soft peaks form.  Gradually add 1/4 cup sugar, beating constantly, until stiff peaks form.  Spread meringue on pie.**Return pie to oven, and bake until meringue is golden.**";12140
'Mom''s Pumpkin Pie Recipe ';273;https://images.media-allrecipes.com/userphotos/560x315/1054478.jpg;Jim Wright;30 m;1 h;1 h 30 m;pastry,egg,egg,white sugar,brown sugar,salt,cinnamon,nutmeg,ginger,clove,milk,whipping cream,pumpkin;Preheat oven to 425 degrees F (220 degrees C.)**In a large bowl, combine eggs, egg yolk, white sugar and brown sugar. Add salt, cinnamon, nutmeg, ginger and cloves. Gradually stir in milk and cream. Stir in pumpkin. Pour filling into pie shell.**Bake for ten minutes in preheated oven. Reduce heat to 350 degrees F (175 degrees C), and bake for an additional 40 to 45 minutes, or until filling is set.**;12141
Sweet Potato Pie I Recipe ;2k;https://images.media-allrecipes.com/userphotos/560x315/1484910.jpg;COUGAAR;30 m;1 h 50 m;2 h 20 m;potato,butter,white sugar,milk,egg,nutmeg,cinnamon,vanilla,bake;Boil sweet potato whole in skin for 40 to 50 minutes, or until done.  Run cold water over the sweet potato, and remove the skin.**Break apart sweet potato in a bowl.  Add butter, and mix well with mixer. Stir in sugar, milk, eggs, nutmeg, cinnamon and vanilla. Beat on medium speed until mixture is smooth.  Pour filling into an unbaked pie crust.**Bake at 350 degrees F (175 degrees C) for 55 to 60 minutes, or until knife inserted in center comes out clean.  Pie will puff up like a souffle, and then will sink down as it cools.**;12142
Easy Fruit Cobbler Recipe ;384;https://images.media-allrecipes.com/userphotos/560x315/683912.jpg;Rosemarie Reeher;15 m;1 h;1 h 15 m;flour,baking powder,white sugar,milk,butter,peach;Preheat oven to 325 degrees F (165 degrees C). Melt butter in a 9 x 9 inch baking dish.**Blend together flour, baking powder, sugar, and milk.**Pour batter in baking dish over the butter. Sprinkle fruit on top of the batter, do not stir. Bake for 1 hour or until golden brown.**;12148
Creamy Blueberry Pie Recipe ;616;https://images.media-allrecipes.com/userphotos/250x250/37562.jpg;Susan Meyer;25 m;55 m;2 h 20 m;blueberry,pie,custard,white sugar,flour,salt,egg,sour cream,For the Streusel:,white sugar,flour,butter;Preheat oven to 350 degrees F (175 degrees C). Place the blueberries in the pastry shell and set aside.**Combine 1 cup sugar, 1/3 cup flour, and salt. Add eggs and sour cream, stirring until blended. Pour the sour cream custard over the blueberries.**In another bowl, combine 1/2 cup sugar and 1/2 cup flour. Cut in the butter with pastry blender until the mixture resembles coarse meal. Sprinkle the topping over the sour cream mixture and berries in the pie shell.**Bake in the preheated oven for 50 to 55 minutes, or until lightly browned. Cool on wire rack.**;12155
Kentucky Pecan Pie Recipe ;195;https://images.media-allrecipes.com/userphotos/560x315/1011576.jpg;Laurie Nanni;15 m;1 h;1 h 15 m;corn syrup,brown sugar,salt,butter,egg,pecan,pastry;'Combine syrup, sugar, salt, and melted butter or margarine.  Slightly beat the eggs, and add to sugar mixture.  Beat well, and pour into uncooked pie shell.  Sprinkle pecans on top.;12165
Rhubarb Strawberry Crunch Recipe ;844;https://images.media-allrecipes.com/userphotos/560x315/4511165.jpg;Michelle Davis;15 m;45 m;1 h;white sugar,flour,strawberry,rhubarb,flour,brown sugar,butter,oat;Preheat oven to 375  degrees F (190 degrees C).**In a large bowl, mix white sugar, 3 tablespoons flour, strawberries, and rhubarb. Place the mixture in a 9x13 inch baking dish.**Mix 1 1/2 cups flour, brown sugar, butter, and oats until crumbly. You may want to use a pastry blender for this. Crumble on top of the rhubarb and strawberry mixture.**Bake 45 minutes in the preheated oven, or until crisp and lightly browned.**;12177
Blueberry Pie Recipe ;1k;https://images.media-allrecipes.com/userphotos/560x315/202488.jpg;ASHESP;15 m;50 m;1 h 5 m;white sugar,cornstarch,salt,cinnamon,blueberry,pastry,butter;Preheat oven to 375 degrees F (190 degrees C).**Mix sugar, cornstarch, salt, and cinnamon, and sprinkle over blueberries.**Line pie dish with one pie crust.  Pour berry mixture into the crust, and dot with butter.  Cut remaining pastry into 1/2 - 3/4 inch wide strips, and make lattice top.  Crimp and flute edges.**Bake pie on lower shelf of oven for about 50 minutes, or until crust is golden brown.**;12196
Cherry Cobbler I Recipe ;219;https://images.media-allrecipes.com/userphotos/250x250/955199.jpg;Mary Lehmann;X;X;X;butter,flour,salt,baking powder,milk,white sugar,cornstarch,water,cherry,white sugar;Mix 3/4 cup sugar, butter or margarine, flour, salt, baking powder, and milk together.  Place cherries in the bottom of a 9 inch square pan.  Spread dough over cherries.**In a small bowl, combine 1 cup sugar and cornstarch.  Stir in boiling water.  Pour mixture over the dough.**Bake at 350 degrees F (175 degrees C) for 45 minutes.  Serve warm.**;12211
Ham and Cheese Quiche Recipe ;246;https://images.media-allrecipes.com/userphotos/560x315/973972.jpg;Judy L. Bishop;15 m;55 m;1 h 10 m;flour,salt,1 cup half-and-half,egg,swiss cheese,pastry,spinach,mushroom,ham,cheddar;Preheat oven to 350 degrees F (175 degrees C).**Beat together flour, salt, half-and-half and eggs in a medium bowl.**Place Swiss cheese flat in the pie crust. Arrange spinach evenly over Swiss cheese, then cover with mushrooms. Pour the flour and egg mixture over mushrooms. Cover with flaked ham and top with Cheddar cheese.**Bake in the preheated oven 45 to 55 minutes, until surface is golden brown.**;12221
Key Lime Pie I Recipe ;216;https://images.media-allrecipes.com/userphotos/560x315/2612934.jpg;IRENED;15 m;15 m;4 h 30 m;ham,white sugar,butter,egg,lime juice,milk,salt,cream,whipping cream,lime;Preheat oven to 325 degrees F (165 degrees C).  Mix graham cracker crumbs with sugar and melted butter. Press into 9 inch pie plate and bake for 5 minutes. Remove from oven and let cool.**Separate 2 of the eggs, placing the two egg whites into a mixing bowl. Reserve the yolks in another bowl.**To the yolks, add one whole egg, lime juice and sweetened condensed milk.  Whisk until smooth. With clean mixer blades or a whisk attachment, beat the egg whites with salt and cream of tartar until stiff, but not dry.  Fold whites into filling mixture.  Pour filling into partially baked crust.**Bake in preheated 325 degrees F (165 degrees C) for 10 to 15 minutes or until set.  Let cool at room temperature, then freeze 4 hours to overnight. Just before serving, whip cream to form stiff peaks.  Serve decorated with whipped cream and lime slices.**;12224
Big Guy Strawberry Pie Recipe ;135;https://images.media-allrecipes.com/userphotos/560x315/14589.jpg;Pat Collins;30 m;30 m;4 h;water,white sugar,salt,cornstarch,food coloring,flour,butter,sugar,vanilla,strawberry;'In a saucepan, combine water, white sugar, salt, cornstarch and food coloring (optional). Bring to a boil, and cook for about 5 minutes or until thickened. Set aside to cool. Preheat oven to 350 degrees F (175 degrees C.)**In a large bowl, combine flour, confectioners'' sugar, and vanilla. Cut in butter until the mixture resembles small crumbs. Press into a 9-inch pie pan. Prick all over with a fork and bake in the preheated oven for 8 to 10 minutes, or until lightly browned.**When crust is cool, place berries in the shell, and pour the thickened mixture over the top. Chill in refrigerator.**';12239
Baked Fresh Cherry Pie Recipe ;259;https://images.media-allrecipes.com/userphotos/560x315/4537555.jpg;Cali;30 m;50 m;3 h 20 m;pastry,tapioca,salt,white sugar,cherry,almond,vanilla,butter;Preheat oven to 400 degrees F (205 degrees C). Place bottom crust in pie pan.  Set top crust aside, covered.**In a large mixing bowl combine tapioca, salt, sugar, cherries, and extracts. Let stand 15 minutes. Turn out into bottom crust and dot with butter. Cover with top crust, flute edges and cut vents in top. Place pie on a foil-lined cookie sheet--in case of drips!**Bake for 50 minutes in the preheated oven, until golden brown. Let cool for several hours before slicing.**;12245
Graham Cracker Crust I Recipe ;689;https://images.media-allrecipes.com/userphotos/560x315/4588261.jpg;Carol;10 m;7 m;17 m;ham,white sugar,butter,cinnamon;'Mix graham cracker crumbs, sugar, melted butter or margarine, and cinnamon until well blended . Press mixture into an 8 or 9 inch pie plate.;12254
Fresh Pear Pie Recipe ;348;https://images.media-allrecipes.com/userphotos/560x315/22150.jpg;Carol;40 m;50 m;5 h 30 m;pastry,white sugar,flour,salt,cinnamon,lemon,pear,butter,lemon juice;Preheat oven to 450 degrees F (230 degrees C). Place a baking sheet on the bottom oven rack.**Combine sugar, flour, salt, cinnamon, and lemon zest in mixing bowl. Roll out half the pastry and line a 9-inch pie pan.**Arrange pear slices in layers in the pastry-lined pan, sprinkling the sugar mixture over each layer. Dot with butter and sprinkle with lemon juice.**Roll out remaining dough for the top crust. Use your finger dipped in a small bowl of water to moisten the rim of the bottom crust. Place top crust over filling, and trim edge using kitchen shears or a sharp paring knife. Fold edge under bottom crust, pressing to seal. Flute edge. Cut slits in top crust to allow steam to escape.**Bake in the preheated oven on the baking sheet for 10 minutes. Reduce oven temperature to 350 degrees F (175 degrees C), and bake until crust is golden brown and filling is bubbly, 35 to 40 minutes longer. Allow to cool several hours before serving.**;12275
Chicken Pot Pie I Recipe ;469;https://images.media-allrecipes.com/userphotos/560x315/36051.jpg;Sharon;X;X;X;chicken,chicken,vegetable,pastry;Boil or steam the chicken breasts until done.  Dice.**Mix together undiluted soup, canned vegetables, and diced chicken. Pour mixture into pie shell, and cover with the second crust. Crimp the edges, and make slits in the top crust.**Bake at 375 degrees F (190 degrees C) for 45 minutes, or until crust is golden brown.**;12281
Blackberry Pie I Recipe ;492;https://images.media-allrecipes.com/userphotos/560x315/675137.jpg;Michelle Verdiere;40 m;40 m;2 h 20 m;blackberry,white sugar,flour,pastry,milk,white sugar;Preheat oven to 425 degrees F (220 degrees C).**Combine 3 1/2 cups berries with the sugar and flour. Spoon the mixture into an unbaked pie shell. Spread the remaining 1/2 cup berries on top of the sweetened berries, and cover with the top crust. Seal and crimp the edges, and cut vents in the top crust for steam to escape.**Brush the top crust with milk, and sprinkle with 1/4 cup sugar.**Bake in the preheated oven for 15 minutes. Reduce the temperature of the oven to 375 degrees F (190 degrees C), and bake for an additional 20 to 25 minutes, or until the filling is bubbly and the crust is golden brown. Cool on wire rack.**;12284
Lemonade Pie III Recipe ;134;https://images.media-allrecipes.com/userphotos/250x250/236902.jpg;Gail;X;X;X;lemon,topping thawed,milk,ham;In a large bowl, mix together concentrate and sweetened condensed milk.  Fold in whipped topping.  Pour filling into crust, and chill before serving.**;12287
Fresh Rhubarb Pie Recipe ;897;https://images.media-allrecipes.com/userphotos/560x315/385001.jpg;Carol;30 m;1 h;1 h 30 m;rhubarb,white sugar,flour,butter,pastry;Preheat oven to 450 degrees F (230 degrees C).**Combine sugar and flour. Sprinkle 1/4 of it over pastry in pie plate. Heap rhubarb over this mixture. Sprinkle with remaining sugar and flour. Dot with small pieces of butter. Cover with top crust.**Place pie on lowest rack in oven. Bake for 15 minutes. Reduce oven temperature to 350 degrees F (175 degrees C), and continue baking for 40 to 45 minutes. Serve warm or cold.**;12316
No Roll Pie Crust I Recipe ;201;https://images.media-allrecipes.com/userphotos/250x250/732305.jpg;Karin Christian;10 m;X;10 m;flour,peanut oil,water,salt;Mix all ingredients together in a bowl. Place dough in the pie pan, and press it out evenly with your fingers. Fill with favorite pie filling and bake.**;12344
